"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
92,"Pernille Vigsø Bagge","2011-10-07T00:00:00Z",NA,NA,"SF","f","27398","left"
93,"Mette Gjerskov","2019-10-01T00:00:00Z",NA,NA,"S","f","24316","left"
94,"Anne Baastrup",NA,NA,NA,"SF","f","19091","left"
95,"Karsten Hønge",NA,NA,NA,"SF","m","21453","left"
96,"Jane Heitmann","2021-10-06T00:00:00Z",NA,NA,"V","f","25147","right"
97,"Thomas Jensen",NA,NA,NA,"S","m","25860","left"
98,"Jonas Dahl","2015-07-09T00:00:00Z",NA,NA,"SF","m","28547","left"
99,"Troels Lund Poulsen",NA,NA,NA,"V","m","27849","right"
100,"Jakob Ellemann-Jensen","2023-10-03T00:00:00Z","2023-10-23T00:00:00Z",NA,"V","m","26932","right"
101,"Simon Kollerup",NA,NA,NA,"S","m","31552","left"
102,"Camilla Hersom",NA,NA,NA,"RV","f","26125","left"
103,"Birgitte Josefsen","2011-10-07T00:00:00Z",NA,NA,"V","f","18911","right"
104,"Jørn Dohrmann","2002-10-01T00:00:00Z",NA,NA,"DF","m","25212","right"
105,"Eyvind Vesselbo","2002-10-01T00:00:00Z",NA,NA,"V","m","17078","right"
106,"Jens Joel",NA,NA,NA,"S","m","28622","left"
107,"Jeppe Bruus",NA,NA,NA,"S","m","28600","left"
108,"Jørgen Arbo-Bæhr",NA,NA,NA,"EL","m","20432","left"
109,"Mikkel Dencker","2016-10-04T00:00:00Z",NA,NA,"DF","m","27718","right"
110,"Lars Christian Lilleholt",NA,NA,NA,"V","m","23803","right"
111,"Lisbeth Bech-Nielsen",NA,NA,NA,"SF","f","30286","left"
112,"Morten Bødskov",NA,NA,NA,"S","m","25689","left"
113,"Pia Adelsteen","2016-10-04T00:00:00Z",NA,NA,"DF","f","23265","right"
114,"Henrik Høegh","2009-10-07T00:00:00Z","2010-03-01T00:00:00Z",NA,"V","m","19049","right"
115,"Flemming Møller Mortensen",NA,NA,NA,"S","m","23195","left"
116,"Uffe Elbæk","2019-10-01T00:00:00Z",NA,NA,"ALT","m","19890","left"
117,"Ole Sohn","2011-08-18T00:00:00Z",NA,NA,"S","m","19979","left"
118,"Manu Sareen","2011-10-03T00:00:00Z","2014-02-03T00:00:00Z","Radikale Venstre","RV","m","24608","left"
119,"Anders Fogh Rasmussen","1996-10-01T00:00:00Z",NA,NA,"V","m","19385","right"
120,"Jeppe Kofod","2019-06-27T00:00:00Z","2022-12-15T00:00:00Z","Socialdemokratiet","S","m","27102","left"
121,"Morten Messerschmidt",NA,NA,NA,"DF","m","29538","right"
122,"Magnus Heunicke",NA,NA,NA,"S","m","27422","left"
123,"Leif Mikkelsen","2018-10-01T00:00:00Z",NA,NA,"LA","m","16645","right"
124,"Orla Hav",NA,NA,NA,"S","m","19087","left"
